Wavelength_nm 1 2 3 4 5 6
614.5 -0.0022 -0.0019 -0.0036 -0.0009 -0.0010 -0.0043
615.0 -0.0021 -0.0020 -0.0035 -0.0007 -0.0009 -0.0038
615.5 -0.0017 -0.0018 -0.0034 -0.0007 -0.0008 -0.0039
616.0 -0.0021 -0.0022 -0.0039 -0.0006 -0.0012 -0.0041
616.5 -0.0020 -0.0021 -0.0035 -0.0007 -0.0010 -0.0039
617.0 -0.0022 -0.0021 -0.0036 -0.0007 -0.0010 -0.0041
617.5 -0.0021 -0.0018 -0.0037 -0.0006 -0.0011 -0.0039
618.0 -0.0020 -0.0018 -0.0036 -0.0009 -0.0011 -0.0039
618.5 -0.0020 -0.0020 -0.0035 -0.0006 -0.0007 -0.0037
619.0 -0.0017 -0.0017 -0.0033 -0.0004 -0.0007 -0.0037
619.5 -0.0019 -0.0020 -0.0037 -0.0008 -0.0010 -0.0039
620.0 -0.0020 -0.0019 -0.0035 -0.0007 -0.0009 -0.0038
620.5 -0.0017 -0.0017 -0.0032 -0.0006 -0.0007 -0.0035
621.0 -0.0018 -0.0020 -0.0037 -0.0005 -0.0008 -0.0037
621.5 -0.0018 -0.0021 -0.0034 -0.0007 -0.0008 -0.0037
622.0 -0.0021 -0.0018 -0.0033 -0.0006 -0.0009 -0.0037
622.5 -0.0017 -0.0019 -0.0035 -0.0006 -0.0007 -0.0039
623.0 -0.0017 -0.0018 -0.0034 -0.0006 -0.0007 -0.0034
623.5 -0.0018 -0.0019 -0.0034 -0.0007 -0.0009 -0.0037
624.0 -0.0018 -0.0021 -0.0035 -0.0005 -0.0008 -0.0038
624.5 -0.0021 -0.0021 -0.0034 -0.0005 -0.0009 -0.0034
625.0 -0.0018 -0.0020 -0.0035 -0.0007 -0.0010 -0.0040
625.5 -0.0017 -0.0018 -0.0034 -0.0007 -0.0008 -0.0037
626.0 -0.0017 -0.0016 -0.0032 -0.0004 -0.0008 -0.0032
626.5 -0.0019 -0.0019 -0.0033 -0.0007 -0.0008 -0.0034
627.0 -0.0019 -0.0020 -0.0034 -0.0007 -0.0011 -0.0034
627.5 -0.0020 -0.0021 -0.0036 -0.0009 -0.0011 -0.0038
628.0 -0.0017 -0.0017 -0.0031 -0.0005 -0.0008 -0.0035
628.5 -0.0019 -0.0018 -0.0031 -0.0007 -0.0008 -0.0035
629.0 -0.0016 -0.0018 -0.0030 -0.0005 -0.0008 -0.0034
629.5 -0.0021 -0.0020 -0.0035 -0.0011 -0.0010 -0.0035
630.0 -0.0017 -0.0018 -0.0035 -0.0007 -0.0009 -0.0035
630.5 -0.0018 -0.0021 -0.0032 -0.0006 -0.0006 -0.0034
631.0 -0.0018 -0.0021 -0.0032 -0.0005 -0.0006 -0.0032
631.5 -0.0019 -0.0019 -0.0032 -0.0008 -0.0007 -0.0037
632.0 -0.0018 -0.0020 -0.0033 -0.0006 -0.0009 -0.0036
632.5 -0.0017 -0.0018 -0.0032 -0.0008 -0.0008 -0.0035
633.0 -0.0016 -0.0018 -0.0032 -0.0005 -0.0009 -0.0037
633.5 -0.0016 -0.0021 -0.0032 -0.0007 -0.0006 -0.0034
